Oil	Das Öl	-
Chain	Die Kette	Die Ketten
Department	Die Abteilung	Die Abteilungen
Project	Das Projekt	Die Projekte
Murder	Der Mord	Die Morde
Bear	Der Bär	Die Bären
Test	Der Test	Die Tests
Visit	Der Besuch	Die Besuche
Milk	Die Milch	-
Boss	Der Chef	Die Chefs
Elbow	Der Ellenbogen	Die Ellenbogen
Desire	Das Verlangen	-
Patient	Der Patient	Die Patienten
Grin	Das Grinsen	-
Lover	Der Liebhaber	Die Liebhaber
Price	Der Preis	Die Preise
Map	Die Karte	Die Karten
Knowledge	Das Wissen	-
Beginning	Der Anfang	Die Anfänge
Cold	Die Kälte	-
Closet	Der Schrank	Die Schränke
Dawn	Die Morgendämmerung	Die Morgendämmerungen
Temple	Der Tempel	Die Tempel
Joy	Die Freude	-
Duty	Die Pflicht	Die Pflichten
Practice	Die Übung	Die Übungen
Heel	Der Absatz	Die Absätze
Valley	Das Tal	Die Täler
Fight	Der Kampf	Die Kämpfe
Wire	Das Kabel	Die Kabel
Jeans	Die Jeans	-
Kiss	Der Kuss	Die Küsse
Jaw	Der Kiefer	Die Kiefer
Run	Der Lauf	Die Läufe
Hold	Das Halten	Die Halten
Relationship	Die Beziehung	Die Beziehungen
Object	Das Objekt	Die Objekte
Attack	Der Angriff	Die Angriffe
Dish	Das Gericht	Die Gerichte
Highway	Die Autobahn	Die Autobahnen
Shade	Der Schatten	Die Schatten
Crime	Das Verbrechen	Die Verbrechen
White	Das Weiß	-
Partner	Der Partner	Die Partner
Priest	Der Priester	Die Priester
Lawn	Der Rasen	Die Rasen
Laugh	Das Lachen	-
Trunk	Der Stamm	Die Stämme
Cry	Das Weinen	Die Weinen
Program	Das Programm	Die Programme
Ride	Die Fahrt	Die Fahrten
Shelf	Das Regal	Die Regale
Gentleman	Der Herr	Die Herren
Being	Das Wesen	Die Wesen
Steel	Der Stahl	-
Sidewalk	Der Bürgersteig	Die Bürgersteige
Uniform	Die Uniform	Die Uniformen
Pattern	Das Muster	Die Muster
Evidence	Der Beweis	Die Beweise
Player	Der Spieler	Die Spieler
Novel	Der Roman	Die Romane
Pillow	Das Kissen	Die Kissen
Lamp	Die Lampe	Die Lampen
Drawer	Die Schublade	Die Schubladen
Danger	Die Gefahr	Die Gefahren
Detective	Der Detektiv	Die Detektive
Instant	Der Augenblick	Die Augenblicke
Thinking	Das Denken	-
Crack	Der Riss	Die Risse
Prayer	Das Gebet	Die Gebete
Towel	Das Handtuch	Die Handtücher
Glove	Der Handschuh	Die Handschuhe
Bay	Die Bucht	Die Buchten
Audience	Das Publikum	-
Can	Die Dose	Die Dosen
Condition	Der Zustand	Die Zustände
Trail	Der Pfad	Die Pfade
Waist	Die Taille	Die Taillen
Pressure	Der Druck	Die Drücke
Telephone	Das Telefon	Die Telefone
Sink	Das Waschbecken	Die Waschbecken
Return	Die Rückkehr	Die Rückkehr
Breeze	Die Brise	Die Brisen
Taste	Der Geschmack	Die Geschmäcker
Fault	Der Fehler	Die Fehler
Stream	Der Strom	Die Ströme
Result	Das Ergebnis	Die Ergebnisse
Author	Der Autor	Die Autoren
Tip	Der Tipp	Die Tipps
Shower	Die Dusche	Die Duschen
Toe	Die Zehe	Die Zehen
Season	Die Jahreszeit	Die Jahreszeiten
Half	Die Hälfte	Die Hälften
Fool	Der Narr	Die Narren
Tunnel	Der Tunnel	Die Tunnel
Client	Der Kunde	Die Kunden
Garage	Die Garage	Die Garagen
Mission	Die Mission	Die Missionen
Chief	Der Chef	Die Chefs
Bullet	Die Kugel	Die Kugeln
